Resuming: 32,768 vectors already embedded with nomic-st-v1.5
  embedded  47,104 (+118,784 prior) @ 33 emb/sec | peakVRAM 3,653 MB | 23.6 min
  embedded  49,152 (+118,784 prior) @ 33 emb/sec | peakVRAM 3,653 MB | 24.8 min
  embedded  51,200 (+118,784 prior) @ 33 emb/sec | peakVRAM 3,653 MB | 25.8 min
Resuming: 169,984 vectors already embedded with nomic-st-v1.5
  embedded   2,048 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,227 MB | 0.9 min
  embedded   4,096 (+169,984 prior) @ 38 emb/sec | peakVRAM 3,227 MB | 1.8 min
  embedded   6,144 (+169,984 prior) @ 38 emb/sec | peakVRAM 3,227 MB | 2.7 min
  embedded   8,192 (+169,984 prior) @ 35 emb/sec | peakVRAM 3,547 MB | 3.9 min
  embedded  10,240 (+169,984 prior) @ 36 emb/sec | peakVRAM 3,547 MB | 4.7 min
  embedded  12,288 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,547 MB | 5.5 min
  embedded  14,336 (+169,984 prior) @ 38 emb/sec | peakVRAM 3,547 MB | 6.3 min
  embedded  16,384 (+169,984 prior) @ 38 emb/sec | peakVRAM 3,547 MB | 7.2 min
  embedded  18,432 (+169,984 prior) @ 38 emb/sec | peakVRAM 3,547 MB | 8.1 min
  embedded  20,480 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,547 MB | 9.3 min
  embedded  22,528 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,547 MB | 10.2 min
  embedded  24,576 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,547 MB | 11.0 min
  embedded  26,624 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,547 MB | 12.0 min
  embedded  28,672 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,547 MB | 12.8 min
  embedded  30,720 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,547 MB | 13.7 min
  embedded  32,768 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,547 MB | 14.9 min
  embedded  34,816 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,799 MB | 15.9 min
  embedded  36,864 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,799 MB | 16.7 min
  embedded  38,912 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,799 MB | 17.7 min
  embedded  40,960 (+169,984 prior) @ 36 emb/sec | peakVRAM 3,799 MB | 18.7 min
  embedded  43,008 (+169,984 prior) @ 36 emb/sec | peakVRAM 3,799 MB | 19.6 min
  embedded  45,056 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,799 MB | 20.5 min
  embedded  47,104 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,799 MB | 21.4 min
  embedded  49,152 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,799 MB | 22.3 min
  embedded  51,200 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,799 MB | 23.2 min
  embedded  53,248 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,799 MB | 24.2 min
  embedded  55,296 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,799 MB | 25.0 min
  embedded  57,344 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,799 MB | 25.9 min
  embedded  59,392 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,799 MB | 26.9 min
  embedded  61,440 (+169,984 prior) @ 37 emb/sec | peakVRAM 3,799 MB | 27.9 min
  embedded  63,488 (+169,984 prior) @ 36 emb/sec | peakVRAM 3,799 MB | 29.3 min
  embedded  65,536 (+169,984 prior) @ 36 emb/sec | peakVRAM 3,799 MB | 30.3 min
  embedded  67,584 (+169,984 prior) @ 36 emb/sec | peakVRAM 3,799 MB | 31.3 min
  embedded  69,632 (+169,984 prior) @ 36 emb/sec | peakVRAM 3,799 MB | 32.2 min
  embedded  71,680 (+169,984 prior) @ 36 emb/sec | peakVRAM 3,799 MB | 33.2 min
  embedded  73,728 (+169,984 prior) @ 36 emb/sec | peakVRAM 3,799 MB | 34.2 min
  embedded  75,776 (+169,984 prior) @ 36 emb/sec | peakVRAM 3,799 MB | 35.2 min
  embedded  77,824 (+169,984 prior) @ 36 emb/sec | peakVRAM 3,799 MB | 36.2 min
  embedded  79,872 (+169,984 prior) @ 36 emb/sec | peakVRAM 3,799 MB | 37.4 min
Resuming: 249,856 vectors already embedded with nomic-st-v1.5
  embedded   2,048 (+249,856 prior) @ 25 emb/sec | peakVRAM 3,203 MB | 1.4 min
  embedded   4,096 (+249,856 prior) @ 25 emb/sec | peakVRAM 3,203 MB | 2.7 min
  embedded   6,144 (+249,856 prior) @ 21 emb/sec | peakVRAM 3,484 MB | 4.8 min
  embedded   8,192 (+249,856 prior) @ 21 emb/sec | peakVRAM 3,484 MB | 6.5 min
  embedded  10,240 (+249,856 prior) @ 21 emb/sec | peakVRAM 3,484 MB | 8.1 min
  embedded  12,288 (+249,856 prior) @ 22 emb/sec | peakVRAM 3,484 MB | 9.3 min
  embedded  14,336 (+249,856 prior) @ 23 emb/sec | peakVRAM 3,484 MB | 10.3 min
  embedded  16,384 (+249,856 prior) @ 24 emb/sec | peakVRAM 3,484 MB | 11.4 min
  embedded  18,432 (+249,856 prior) @ 25 emb/sec | peakVRAM 3,484 MB | 12.4 min
Resuming: 268,288 vectors already embedded with nomic-st-v1.5
  embedded   2,048 (+268,288 prior) @ 33 emb/sec | peakVRAM 3,158 MB | 1.0 min
  embedded   4,096 (+268,288 prior) @ 36 emb/sec | peakVRAM 3,158 MB | 1.9 min
  embedded   6,144 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,158 MB | 2.8 min
  embedded   8,192 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,158 MB | 3.7 min
  embedded  10,240 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,158 MB | 4.6 min
  embedded  12,288 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,158 MB | 5.5 min
  embedded  14,336 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,158 MB | 6.4 min
