  embedded 137,216 (+0 prior) @ 51 emb/sec | peakVRAM 2,362 MB | 44.7 min
  embedded 139,264 (+0 prior) @ 51 emb/sec | peakVRAM 2,362 MB | 45.3 min
  embedded 141,312 (+0 prior) @ 51 emb/sec | peakVRAM 2,362 MB | 45.9 min
  embedded 143,360 (+0 prior) @ 51 emb/sec | peakVRAM 2,362 MB | 46.5 min
  embedded 145,408 (+0 prior) @ 51 emb/sec | peakVRAM 2,362 MB | 47.1 min
  embedded 147,456 (+0 prior) @ 51 emb/sec | peakVRAM 2,362 MB | 47.8 min
  embedded 149,504 (+0 prior) @ 51 emb/sec | peakVRAM 2,362 MB | 48.4 min
  embedded 151,552 (+0 prior) @ 51 emb/sec | peakVRAM 2,362 MB | 49.2 min
  embedded 153,600 (+0 prior) @ 51 emb/sec | peakVRAM 2,362 MB | 49.8 min
  embedded 155,648 (+0 prior) @ 51 emb/sec | peakVRAM 2,362 MB | 50.4 min
  embedded 157,696 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 51.5 min
  embedded 159,744 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 52.1 min
  embedded 161,792 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 52.7 min
  embedded 163,840 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 53.3 min
  embedded 165,888 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 54.1 min
  embedded 167,936 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 54.8 min
  embedded 169,984 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 55.6 min
  embedded 172,032 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 56.4 min
  embedded 174,080 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 57.0 min
  embedded 176,128 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 57.6 min
  embedded 178,176 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 58.3 min
  embedded 180,224 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 59.0 min
  embedded 182,272 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 59.7 min
  embedded 184,320 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 60.3 min
  embedded 186,368 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 61.0 min
  embedded 188,416 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 61.7 min
  embedded 190,464 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 62.8 min
  embedded 192,512 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 63.5 min
  embedded 194,560 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 64.1 min
  embedded 196,608 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 64.8 min
  embedded 198,656 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 65.3 min
  embedded 200,704 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 66.4 min
